courier_price_id,courier_id courier_zone_id,,from_kg,to_kg,price,status,date_added,date_modify,is_delete
48855,4,38,289,289.99,45065.436,1,,,0
48856,4,38,290,290.99,45220.836,1,,,0
48857,4,38,291,291.99,45376.236,1,,,0
48858,4,38,292,292.99,45531.636,1,,,0
48859,4,38,293,293.99,45687.036,1,,,0
48860,4,38,294,294.99,45842.436,1,,,0
48861,4,38,295,295.99,45997.836,1,,,0
48862,4,38,296,296.99,46153.236,1,,,0
48863,4,38,297,297.99,46308.636,1,,,0
48864,4,38,298,298.99,46464.036,1,,,0
48865,4,38,299,299.99,46619.436,1,,,0
48866,4,38,300,300.99,46774.836,1,,,0
48867,4,38,301,301.99,46930.236,1,,,0
48868,4,38,302,302.99,47085.636,1,,,0
48869,4,38,303,303.99,47241.036,1,,,0
48870,4,38,304,304.99,47396.436,1,,,0
48871,4,38,305,305.99,47551.836,1,,,0
48872,4,38,306,306.99,47707.236,1,,,0
48873,4,38,307,307.99,47862.636,1,,,0
48874,4,38,308,308.99,48018.036,1,,,0
48875,4,38,309,309.99,48173.436,1,,,0
48876,4,38,310,310.99,48328.836,1,,,0
48877,4,38,311,311.99,48484.236,1,,,0
48878,4,38,312,312.99,48639.636,1,,,0
48879,4,38,313,313.99,48795.036,1,,,0
48880,4,38,314,314.99,48950.436,1,,,0
48881,4,38,315,315.99,49105.836,1,,,0
48882,4,38,316,316.99,49261.236,1,,,0
48883,4,38,317,317.99,49416.636,1,,,0
48884,4,38,318,318.99,49572.036,1,,,0
48885,4,38,319,319.99,49727.436,1,,,0
48886,4,38,320,320.99,49882.836,1,,,0
48887,4,38,321,321.99,50038.236,1,,,0
48888,4,38,322,322.99,50193.636,1,,,0
48889,4,38,323,323.99,50349.036,1,,,0
48890,4,38,324,324.99,50504.436,1,,,0
48891,4,38,325,325.99,50659.836,1,,,0
48892,4,38,326,326.99,50815.236,1,,,0
48893,4,38,327,327.99,50970.636,1,,,0
48894,4,38,328,328.99,51126.036,1,,,0
48895,4,38,329,329.99,51281.436,1,,,0
48896,4,38,330,330.99,51436.836,1,,,0
48897,4,38,331,331.99,51592.236,1,,,0
48898,4,38,332,332.99,51747.636,1,,,0
48899,4,38,333,333.99,51903.036,1,,,0
48900,4,38,334,334.99,52058.436,1,,,0
48901,4,38,335,335.99,52213.836,1,,,0
48902,4,38,336,336.99,52369.236,1,,,0
48903,4,38,337,337.99,52524.636,1,,,0
48904,4,38,338,338.99,52680.036,1,,,0
48905,4,38,339,339.99,52835.436,1,,,0
48906,4,38,340,340.99,52990.836,1,,,0
48907,4,38,341,341.99,53146.236,1,,,0
48908,4,38,342,342.99,53301.636,1,,,0
48909,4,38,343,343.99,53457.036,1,,,0
48910,4,38,344,344.99,53612.436,1,,,0
48911,4,38,345,345.99,53767.836,1,,,0
48912,4,38,346,346.99,53923.236,1,,,0
48913,4,38,347,347.99,54078.636,1,,,0
48914,4,38,348,348.99,54234.036,1,,,0
48915,4,38,349,349.99,54389.436,1,,,0
48916,4,38,350,350.99,54544.836,1,,,0
48917,4,38,351,351.99,54700.236,1,,,0
48918,4,38,352,352.99,54855.636,1,,,0
48919,4,38,353,353.99,55011.036,1,,,0
48920,4,38,354,354.99,55166.436,1,,,0
48921,4,38,355,355.99,55321.836,1,,,0
48922,4,38,356,356.99,55477.236,1,,,0
48923,4,38,357,357.99,55632.636,1,,,0
48924,4,38,358,358.99,55788.036,1,,,0
48925,4,38,359,359.99,55943.436,1,,,0
48926,4,38,360,360.99,56098.836,1,,,0
48927,4,38,361,361.99,56254.236,1,,,0
48928,4,38,362,362.99,56409.636,1,,,0
48929,4,38,363,363.99,56565.036,1,,,0
48930,4,38,364,364.99,56720.436,1,,,0
48931,4,38,365,365.99,56875.836,1,,,0
48932,4,38,366,366.99,57031.236,1,,,0
48933,4,38,367,367.99,57186.636,1,,,0
48934,4,38,368,368.99,57342.036,1,,,0
48935,4,38,369,369.99,57497.436,1,,,0
48936,4,38,370,370.99,57652.836,1,,,0
48937,4,38,371,371.99,57808.236,1,,,0
48938,4,38,372,372.99,57963.636,1,,,0
48939,4,38,373,373.99,58119.036,1,,,0
48940,4,38,374,374.99,58274.436,1,,,0
48941,4,38,375,375.99,58429.836,1,,,0
48942,4,38,376,376.99,58585.236,1,,,0
48943,4,38,377,377.99,58740.636,1,,,0
48944,4,38,378,378.99,58896.036,1,,,0
48945,4,38,379,379.99,59051.436,1,,,0
48946,4,38,380,380.99,59206.836,1,,,0
48947,4,38,381,381.99,59362.236,1,,,0
48948,4,38,382,382.99,59517.636,1,,,0
48949,4,38,383,383.99,59673.036,1,,,0
48950,4,38,384,384.99,59828.436,1,,,0
48951,4,38,385,385.99,59983.836,1,,,0
48952,4,38,386,386.99,60139.236,1,,,0
48953,4,38,387,387.99,60294.636,1,,,0
48954,4,38,388,388.99,60450.036,1,,,0
48955,4,38,389,389.99,60605.436,1,,,0
48956,4,38,390,390.99,60760.836,1,,,0
48957,4,38,391,391.99,60916.236,1,,,0
48958,4,38,392,392.99,61071.636,1,,,0
48959,4,38,393,393.99,61227.036,1,,,0
48960,4,38,394,394.99,61382.436,1,,,0
48961,4,38,395,395.99,61537.836,1,,,0
48962,4,38,396,396.99,61693.236,1,,,0
48963,4,38,397,397.99,61848.636,1,,,0
48964,4,38,398,398.99,62004.036,1,,,0
48965,4,38,399,399.99,62159.436,1,,,0
48966,4,38,400,400.99,62314.836,1,,,0
48967,4,38,401,401.99,62470.236,1,,,0
48968,4,38,402,402.99,62625.636,1,,,0
48969,4,38,403,403.99,62781.036,1,,,0
48970,4,38,404,404.99,62936.436,1,,,0
48971,4,38,405,405.99,63091.836,1,,,0
48972,4,38,406,406.99,63247.236,1,,,0
48973,4,38,407,407.99,63402.636,1,,,0
48974,4,38,408,408.99,63558.036,1,,,0
48975,4,38,409,409.99,63713.436,1,,,0
48976,4,38,410,410.99,63868.836,1,,,0
48977,4,38,411,411.99,64024.236,1,,,0
48978,4,38,412,412.99,64179.636,1,,,0
48979,4,38,413,413.99,64335.036,1,,,0
48980,4,38,414,414.99,64490.436,1,,,0
48981,4,38,415,415.99,64645.836,1,,,0
48982,4,38,416,416.99,64801.236,1,,,0
48983,4,38,417,417.99,64956.636,1,,,0
48984,4,38,418,418.99,65112.036,1,,,0
48985,4,38,419,419.99,65267.436,1,,,0
48986,4,38,420,420.99,65422.836,1,,,0
48987,4,38,421,421.99,65578.236,1,,,0
48988,4,38,422,422.99,65733.636,1,,,0
48989,4,38,423,423.99,65889.036,1,,,0
48990,4,38,424,424.99,66044.436,1,,,0
48991,4,38,425,425.99,66199.836,1,,,0
48992,4,38,426,426.99,66355.236,1,,,0
48993,4,38,427,427.99,66510.636,1,,,0
48994,4,38,428,428.99,66666.036,1,,,0
48995,4,38,429,429.99,66821.436,1,,,0
48996,4,38,430,430.99,66976.836,1,,,0
48997,4,38,431,431.99,67132.236,1,,,0
48998,4,38,432,432.99,67287.636,1,,,0
48999,4,38,433,433.99,67443.036,1,,,0
