courier_price_id,courier_id,couried_zone_id,from_kg,to_kg,price,status,date_added,date_modify,is_delete
49674,4,39,117,117.99,19327.752,1,,,0
49675,4,39,118,118.99,19491.552,1,,,0
49676,4,39,119,119.99,19655.352,1,,,0
49677,4,39,120,120.99,19819.152,1,,,0
49678,4,39,121,121.99,19982.952,1,,,0
49679,4,39,122,122.99,20146.752,1,,,0
49680,4,39,123,123.99,20310.552,1,,,0
49681,4,39,124,124.99,20474.352,1,,,0
49682,4,39,125,125.99,20638.152,1,,,0
49683,4,39,126,126.99,20801.952,1,,,0
49684,4,39,127,127.99,20965.752,1,,,0
49685,4,39,128,128.99,21129.552,1,,,0
49686,4,39,129,129.99,21293.352,1,,,0
49687,4,39,130,130.99,21457.152,1,,,0
49688,4,39,131,131.99,21620.952,1,,,0
49689,4,39,132,132.99,21784.752,1,,,0
49690,4,39,133,133.99,21948.552,1,,,0
49691,4,39,134,134.99,22112.352,1,,,0
49692,4,39,135,135.99,22276.152,1,,,0
49693,4,39,136,136.99,22439.952,1,,,0
49694,4,39,137,137.99,22603.752,1,,,0
49695,4,39,138,138.99,22767.552,1,,,0
49696,4,39,139,139.99,22931.352,1,,,0
49697,4,39,140,140.99,23095.152,1,,,0
49698,4,39,141,141.99,23258.952,1,,,0
49699,4,39,142,142.99,23422.752,1,,,0
49700,4,39,143,143.99,23586.552,1,,,0
49701,4,39,144,144.99,23750.352,1,,,0
49702,4,39,145,145.99,23914.152,1,,,0
49703,4,39,146,146.99,24077.952,1,,,0
49704,4,39,147,147.99,24241.752,1,,,0
49705,4,39,148,148.99,24405.552,1,,,0
49706,4,39,149,149.99,24569.352,1,,,0
49707,4,39,150,150.99,24733.152,1,,,0
49708,4,39,151,151.99,24896.952,1,,,0
49709,4,39,152,152.99,25060.752,1,,,0
49710,4,39,153,153.99,25224.552,1,,,0
49711,4,39,154,154.99,25388.352,1,,,0
49712,4,39,155,155.99,25552.152,1,,,0
49713,4,39,156,156.99,25715.952,1,,,0
49714,4,39,157,157.99,25879.752,1,,,0
49715,4,39,158,158.99,26043.552,1,,,0
49716,4,39,159,159.99,26207.352,1,,,0
49717,4,39,160,160.99,26371.152,1,,,0
49718,4,39,161,161.99,26534.952,1,,,0
49719,4,39,162,162.99,26698.752,1,,,0
49720,4,39,163,163.99,26862.552,1,,,0
49721,4,39,164,164.99,27026.352,1,,,0
49722,4,39,165,165.99,27190.152,1,,,0
49723,4,39,166,166.99,27353.952,1,,,0
49724,4,39,167,167.99,27517.752,1,,,0
49725,4,39,168,168.99,27681.552,1,,,0
49726,4,39,169,169.99,27845.352,1,,,0
49727,4,39,170,170.99,28009.152,1,,,0
49728,4,39,171,171.99,28172.952,1,,,0
49729,4,39,172,172.99,28336.752,1,,,0
49730,4,39,173,173.99,28500.552,1,,,0
49731,4,39,174,174.99,28664.352,1,,,0
49732,4,39,175,175.99,28828.152,1,,,0
49733,4,39,176,176.99,28991.952,1,,,0
49734,4,39,177,177.99,29155.752,1,,,0
49735,4,39,178,178.99,29319.552,1,,,0
49736,4,39,179,179.99,29483.352,1,,,0
49737,4,39,180,180.99,29647.152,1,,,0
49738,4,39,181,181.99,29810.952,1,,,0
49739,4,39,182,182.99,29974.752,1,,,0
49740,4,39,183,183.99,30138.552,1,,,0
49741,4,39,184,184.99,30302.352,1,,,0
49742,4,39,185,185.99,30466.152,1,,,0
49743,4,39,186,186.99,30629.952,1,,,0
49744,4,39,187,187.99,30793.752,1,,,0
49745,4,39,188,188.99,30957.552,1,,,0
49746,4,39,189,189.99,31121.352,1,,,0
