courier_zone_price_id,courier_id courier_zone_id,,from_kg,to_kg,price,status,date_added,date_modify,is_delete
54691,4,44,179,179.99,39310.806,1,,,0
54692,4,44,180,180.99,39529.206,1,,,0
54693,4,44,181,181.99,39747.606,1,,,0
54694,4,44,182,182.99,39966.006,1,,,0
54695,4,44,183,183.99,40184.406,1,,,0
54696,4,44,184,184.99,40402.806,1,,,0
54697,4,44,185,185.99,40621.206,1,,,0
54698,4,44,186,186.99,40839.606,1,,,0
54699,4,44,187,187.99,41058.006,1,,,0
54700,4,44,188,188.99,41276.406,1,,,0
54701,4,44,189,189.99,41494.806,1,,,0
54702,4,44,190,190.99,41713.206,1,,,0
54703,4,44,191,191.99,41931.606,1,,,0
54704,4,44,192,192.99,42150.006,1,,,0
54705,4,44,193,193.99,42368.406,1,,,0
54706,4,44,194,194.99,42586.806,1,,,0
54707,4,44,195,195.99,42805.206,1,,,0
54708,4,44,196,196.99,43023.606,1,,,0
54709,4,44,197,197.99,43242.006,1,,,0
54710,4,44,198,198.99,43460.406,1,,,0
54711,4,44,199,199.99,43678.806,1,,,0
54712,4,44,200,200.99,43897.206,1,,,0
54713,4,44,201,201.99,44115.606,1,,,0
54714,4,44,202,202.99,44334.006,1,,,0
54715,4,44,203,203.99,44552.406,1,,,0
54716,4,44,204,204.99,44770.806,1,,,0
54717,4,44,205,205.99,44989.206,1,,,0
54718,4,44,206,206.99,45207.606,1,,,0
54719,4,44,207,207.99,45426.006,1,,,0
54720,4,44,208,208.99,45644.406,1,,,0
54721,4,44,209,209.99,45862.806,1,,,0
54722,4,44,210,210.99,46081.206,1,,,0
54723,4,44,211,211.99,46299.606,1,,,0
54724,4,44,212,212.99,46518.006,1,,,0
54725,4,44,213,213.99,46736.406,1,,,0
54726,4,44,214,214.99,46954.806,1,,,0
54727,4,44,215,215.99,47173.206,1,,,0
54728,4,44,216,216.99,47391.606,1,,,0
54729,4,44,217,217.99,47610.006,1,,,0
54730,4,44,218,218.99,47828.406,1,,,0
54731,4,44,219,219.99,48046.806,1,,,0
54732,4,44,220,220.99,48265.206,1,,,0
54733,4,44,221,221.99,48483.606,1,,,0
54734,4,44,222,222.99,48702.006,1,,,0
54735,4,44,223,223.99,48920.406,1,,,0
54736,4,44,224,224.99,49138.806,1,,,0
54737,4,44,225,225.99,49357.206,1,,,0
54738,4,44,226,226.99,49575.606,1,,,0
54739,4,44,227,227.99,49794.006,1,,,0
54740,4,44,228,228.99,50012.406,1,,,0
54741,4,44,229,229.99,50230.806,1,,,0
54742,4,44,230,230.99,50449.206,1,,,0
54743,4,44,231,231.99,50667.606,1,,,0
54744,4,44,232,232.99,50886.006,1,,,0
54745,4,44,233,233.99,51104.406,1,,,0
54746,4,44,234,234.99,51322.806,1,,,0
54747,4,44,235,235.99,51541.206,1,,,0
54748,4,44,236,236.99,51759.606,1,,,0
54749,4,44,237,237.99,51978.006,1,,,0
54750,4,44,238,238.99,52196.406,1,,,0
54751,4,44,239,239.99,52414.806,1,,,0
54752,4,44,240,240.99,52633.206,1,,,0
54753,4,44,241,241.99,52851.606,1,,,0
54754,4,44,242,242.99,53070.006,1,,,0
54755,4,44,243,243.99,53288.406,1,,,0
54756,4,44,244,244.99,53506.806,1,,,0
54757,4,44,245,245.99,53725.206,1,,,0
54758,4,44,246,246.99,53943.606,1,,,0
54759,4,44,247,247.99,54162.006,1,,,0
54760,4,44,248,248.99,54380.406,1,,,0
54761,4,44,249,249.99,54598.806,1,,,0
54762,4,44,250,250.99,54817.206,1,,,0
54763,4,44,251,251.99,55035.606,1,,,0
54764,4,44,252,252.99,55254.006,1,,,0
54765,4,44,253,253.99,55472.406,1,,,0
54766,4,44,254,254.99,55690.806,1,,,0
54767,4,44,255,255.99,55909.206,1,,,0
54768,4,44,256,256.99,56127.606,1,,,0
54769,4,44,257,257.99,56346.006,1,,,0
54770,4,44,258,258.99,56564.406,1,,,0
54771,4,44,259,259.99,56782.806,1,,,0
54772,4,44,260,260.99,57001.206,1,,,0
54773,4,44,261,261.99,57219.606,1,,,0
54774,4,44,262,262.99,57438.006,1,,,0
54775,4,44,263,263.99,57656.406,1,,,0
54776,4,44,264,264.99,57874.806,1,,,0
54777,4,44,265,265.99,58093.206,1,,,0
54778,4,44,266,266.99,58311.606,1,,,0
54779,4,44,267,267.99,58530.006,1,,,0
54780,4,44,268,268.99,58748.406,1,,,0
54781,4,44,269,269.99,58966.806,1,,,0
54782,4,44,270,270.99,59185.206,1,,,0
54783,4,44,271,271.99,59403.606,1,,,0
54784,4,44,272,272.99,59622.006,1,,,0
54785,4,44,273,273.99,59840.406,1,,,0
54786,4,44,274,274.99,60058.806,1,,,0
