courier_price_id,courier_id,courier_zone_id,from_kg,to_kg,price,status,date_added,date_modify,is_delete
47727,4,37,152,152.99,17189.4165,1,,,0
47728,4,37,153,153.99,17301.7665,1,,,0
47729,4,37,154,154.99,17414.1165,1,,,0
47730,4,37,155,155.99,17526.4665,1,,,0
47731,4,37,156,156.99,17638.8165,1,,,0
47732,4,37,157,157.99,17751.1665,1,,,0
47733,4,37,158,158.99,17863.5165,1,,,0
47734,4,37,159,159.99,17975.8665,1,,,0
47735,4,37,160,160.99,18088.2165,1,,,0
47736,4,37,161,161.99,18200.5665,1,,,0
47737,4,37,162,162.99,18312.9165,1,,,0
47738,4,37,163,163.99,18425.2665,1,,,0
47739,4,37,164,164.99,18537.6165,1,,,0
47740,4,37,165,165.99,18649.9665,1,,,0
47741,4,37,166,166.99,18762.3165,1,,,0
47742,4,37,167,167.99,18874.6665,1,,,0
47743,4,37,168,168.99,18987.0165,1,,,0
47744,4,37,169,169.99,19099.3665,1,,,0
47745,4,37,170,170.99,19211.7165,1,,,0
47746,4,37,171,171.99,19324.0665,1,,,0
47747,4,37,172,172.99,19436.4165,1,,,0
47748,4,37,173,173.99,19548.7665,1,,,0
47749,4,37,174,174.99,19661.1165,1,,,0
47750,4,37,175,175.99,19773.4665,1,,,0
47751,4,37,176,176.99,19885.8165,1,,,0
47752,4,37,177,177.99,19998.1665,1,,,0
47753,4,37,178,178.99,20110.5165,1,,,0
47754,4,37,179,179.99,20222.8665,1,,,0
47755,4,37,180,180.99,20335.2165,1,,,0
47756,4,37,181,181.99,20447.5665,1,,,0
47757,4,37,182,182.99,20559.9165,1,,,0
47758,4,37,183,183.99,20672.2665,1,,,0
47759,4,37,184,184.99,20784.6165,1,,,0
47760,4,37,185,185.99,20896.9665,1,,,0
47761,4,37,186,186.99,21009.3165,1,,,0
47762,4,37,187,187.99,21121.6665,1,,,0
47763,4,37,188,188.99,21234.0165,1,,,0
47764,4,37,189,189.99,21346.3665,1,,,0
47765,4,37,190,190.99,21458.7165,1,,,0
47766,4,37,191,191.99,21571.0665,1,,,0
47767,4,37,192,192.99,21683.4165,1,,,0
47768,4,37,193,193.99,21795.7665,1,,,0
47769,4,37,194,194.99,21908.1165,1,,,0
47770,4,37,195,195.99,22020.4665,1,,,0
47771,4,37,196,196.99,22132.8165,1,,,0
47772,4,37,197,197.99,22245.1665,1,,,0
47773,4,37,198,198.99,22357.5165,1,,,0
47774,4,37,199,199.99,22469.8665,1,,,0
47775,4,37,200,200.99,22582.2165,1,,,0
47776,4,37,201,201.99,22694.5665,1,,,0
47777,4,37,202,202.99,22806.9165,1,,,0
47778,4,37,203,203.99,22919.2665,1,,,0
47779,4,37,204,204.99,23031.6165,1,,,0
47780,4,37,205,205.99,23143.9665,1,,,0
47781,4,37,206,206.99,23256.3165,1,,,0
47782,4,37,207,207.99,23368.6665,1,,,0
47783,4,37,208,208.99,23481.0165,1,,,0
47784,4,37,209,209.99,23593.3665,1,,,0
47785,4,37,210,210.99,23705.7165,1,,,0
47786,4,37,211,211.99,23818.0665,1,,,0
47787,4,37,212,212.99,23930.4165,1,,,0
47788,4,37,213,213.99,24042.7665,1,,,0
47789,4,37,214,214.99,24155.1165,1,,,0
47790,4,37,215,215.99,24267.4665,1,,,0
47791,4,37,216,216.99,24379.8165,1,,,0
47792,4,37,217,217.99,24492.1665,1,,,0
47793,4,37,218,218.99,24604.5165,1,,,0
47794,4,37,219,219.99,24716.8665,1,,,0
47795,4,37,220,220.99,24829.2165,1,,,0
