courier_zone_price_id,courier_id,couried_zone_id,from_kg,to_kg,price,status,date_added,date_modify,is_delete
51650,4,41,111,111.99,18696.7305,1,,,0
51651,4,41,112,112.99,18863.6805,1,,,0
51652,4,41,113,113.99,19030.6305,1,,,0
51653,4,41,114,114.99,19197.5805,1,,,0
51654,4,41,115,115.99,19364.5305,1,,,0
51655,4,41,116,116.99,19531.4805,1,,,0
51656,4,41,117,117.99,19698.4305,1,,,0
51657,4,41,118,118.99,19865.3805,1,,,0
51658,4,41,119,119.99,20032.3305,1,,,0
51659,4,41,120,120.99,20199.2805,1,,,0
51660,4,41,121,121.99,20366.2305,1,,,0
51661,4,41,122,122.99,20533.1805,1,,,0
51662,4,41,123,123.99,20700.1305,1,,,0
51663,4,41,124,124.99,20867.0805,1,,,0
51664,4,41,125,125.99,21034.0305,1,,,0
51665,4,41,126,126.99,21200.9805,1,,,0
51666,4,41,127,127.99,21367.9305,1,,,0
51667,4,41,128,128.99,21534.8805,1,,,0
51668,4,41,129,129.99,21701.8305,1,,,0
51669,4,41,130,130.99,21868.7805,1,,,0
51670,4,41,131,131.99,22035.7305,1,,,0
51671,4,41,132,132.99,22202.6805,1,,,0
51672,4,41,133,133.99,22369.6305,1,,,0
51673,4,41,134,134.99,22536.5805,1,,,0
51674,4,41,135,135.99,22703.5305,1,,,0
51675,4,41,136,136.99,22870.4805,1,,,0
51676,4,41,137,137.99,23037.4305,1,,,0
51677,4,41,138,138.99,23204.3805,1,,,0
51678,4,41,139,139.99,23371.3305,1,,,0
51679,4,41,140,140.99,23538.2805,1,,,0
51680,4,41,141,141.99,23705.2305,1,,,0
51681,4,41,142,142.99,23872.1805,1,,,0
51682,4,41,143,143.99,24039.1305,1,,,0
51683,4,41,144,144.99,24206.0805,1,,,0
51684,4,41,145,145.99,24373.0305,1,,,0
51685,4,41,146,146.99,24539.9805,1,,,0
51686,4,41,147,147.99,24706.9305,1,,,0
51687,4,41,148,148.99,24873.8805,1,,,0
51688,4,41,149,149.99,25040.8305,1,,,0
51689,4,41,150,150.99,25207.7805,1,,,0
51690,4,41,151,151.99,25374.7305,1,,,0
51691,4,41,152,152.99,25541.6805,1,,,0
51692,4,41,153,153.99,25708.6305,1,,,0
51693,4,41,154,154.99,25875.5805,1,,,0
51694,4,41,155,155.99,26042.5305,1,,,0
51695,4,41,156,156.99,26209.4805,1,,,0
51696,4,41,157,157.99,26376.4305,1,,,0
51697,4,41,158,158.99,26543.3805,1,,,0
51698,4,41,159,159.99,26710.3305,1,,,0
51699,4,41,160,160.99,26877.2805,1,,,0
51700,4,41,161,161.99,27044.2305,1,,,0
51701,4,41,162,162.99,27211.1805,1,,,0
51702,4,41,163,163.99,27378.1305,1,,,0
51703,4,41,164,164.99,27545.0805,1,,,0
51704,4,41,165,165.99,27712.0305,1,,,0
51705,4,41,166,166.99,27878.9805,1,,,0
51706,4,41,167,167.99,28045.9305,1,,,0
51707,4,41,168,168.99,28212.8805,1,,,0
51708,4,41,169,169.99,28379.8305,1,,,0
51709,4,41,170,170.99,28546.7805,1,,,0
51710,4,41,171,171.99,28713.7305,1,,,0
51711,4,41,172,172.99,28880.6805,1,,,0
51712,4,41,173,173.99,29047.6305,1,,,0
51713,4,41,174,174.99,29214.5805,1,,,0
51714,4,41,175,175.99,29381.5305,1,,,0
51715,4,41,176,176.99,29548.4805,1,,,0
51716,4,41,177,177.99,29715.4305,1,,,0
51717,4,41,178,178.99,29882.3805,1,,,0
51718,4,41,179,179.99,30049.3305,1,,,0
51719,4,41,180,180.99,30216.2805,1,,,0
51720,4,41,181,181.99,30383.2305,1,,,0
51721,4,41,182,182.99,30550.1805,1,,,0
51722,4,41,183,183.99,30717.1305,1,,,0
51723,4,41,184,184.99,30884.0805,1,,,0
51724,4,41,185,185.99,31051.0305,1,,,0
51725,4,41,186,186.99,31217.9805,1,,,0
51726,4,41,187,187.99,31384.9305,1,,,0
51727,4,41,188,188.99,31551.8805,1,,,0
51728,4,41,189,189.99,31718.8305,1,,,0
51729,4,41,190,190.99,31885.7805,1,,,0
51730,4,41,191,191.99,32052.7305,1,,,0
51731,4,41,192,192.99,32219.6805,1,,,0
51732,4,41,193,193.99,32386.6305,1,,,0
51733,4,41,194,194.99,32553.5805,1,,,0
51734,4,41,195,195.99,32720.5305,1,,,0
51735,4,41,196,196.99,32887.4805,1,,,0
51736,4,41,197,197.99,33054.4305,1,,,0
51737,4,41,198,198.99,33221.3805,1,,,0
51738,4,41,199,199.99,33388.3305,1,,,0
51739,4,41,200,200.99,33555.2805,1,,,0
51740,4,41,201,201.99,33722.2305,1,,,0
51741,4,41,202,202.99,33889.1805,1,,,0
51742,4,41,203,203.99,34056.1305,1,,,0
51743,4,41,204,204.99,34223.0805,1,,,0
51744,4,41,205,205.99,34390.0305,1,,,0
51745,4,41,206,206.99,34556.9805,1,,,0
51746,4,41,207,207.99,34723.9305,1,,,0
51747,4,41,208,208.99,34890.8805,1,,,0
51748,4,41,209,209.99,35057.8305,1,,,0
51749,4,41,210,210.99,35224.7805,1,,,0
51750,4,41,211,211.99,35391.7305,1,,,0
51751,4,41,212,212.99,35558.6805,1,,,0
51752,4,41,213,213.99,35725.6305,1,,,0
51753,4,41,214,214.99,35892.5805,1,,,0
51754,4,41,215,215.99,36059.5305,1,,,0
51755,4,41,216,216.99,36226.4805,1,,,0
51756,4,41,217,217.99,36393.4305,1,,,0
51757,4,41,218,218.99,36560.3805,1,,,0
51758,4,41,219,219.99,36727.3305,1,,,0
51759,4,41,220,220.99,36894.2805,1,,,0
51760,4,41,221,221.99,37061.2305,1,,,0
51761,4,41,222,222.99,37228.1805,1,,,0
51762,4,41,223,223.99,37395.1305,1,,,0
51763,4,41,224,224.99,37562.0805,1,,,0
